Citance Number,Reference Article,Citing Article,Citation Marker Offset,Citation Offset,Citation Text,Reference Offset,Reference Text,Discourse Facet
6,P08-1028,P10-1097,0.0,0.0,"Mitchell and Lapata (2008), henceforth M& amp; L, propose a general framework in which meaning representations for complex expressions are computed compositionally by combining the vector representations of the individual words of the complex expression",['21'],"<S sid =""21"" ssid = ""17"">Central in these models is the notion of compositionality — the meaning of complex expressions is determined by the meanings of their constituent expressions and the rules used to combine them.</S>",Method_Citation
8,P08-1028,D11-1094,0.0,0.0,"And Mitchell and Lapata (2008) propose a model for vector composition, focusing on the different functions that might be used to combine the constituent vectors",['25'],"<S sid =""25"" ssid = ""21"">We present a general framework for vector-based composition which allows us to consider different classes of models.</S>",Method_Citation
8,P08-1028,D11-1094,0.0,0.0,"And Mitchell and Lapata (2008) propose a model for vector composition, focusing on the different functions that might be used to combine the constituent vectors",['51'],"<S sid =""51"" ssid = ""24"">Our work proposes a framework for vector composition which allows the derivation of different types of models and licenses two fundamental composition operations, multiplication and addition (and their combination).</S>",Method_Citation
8,P08-1028,D11-1094,0.0,0.0,"And Mitchell and Lapata (2008) propose a model for vector composition, focusing on the different functions that might be used to combine the constituent vectors",['95'],"<S sid =""95"" ssid = ""8"">Focusing on a single compositional structure, namely intransitive verbs and their subjects, is a good point of departure for studying vector combination.</S>",Method_Citation
8,P08-1028,D11-1094,0.0,0.0,"And Mitchell and Lapata (2008) propose a model for vector composition, focusing on the different functions that might be used to combine the constituent vectors",['190'],"<S sid =""190"" ssid = ""2"">We formulated composition as a function of two vectors and introduced several models based on addition and multiplication.</S>",Method_Citation
9,P08-1028,W11-0131,0.0,0.0,"Mitchell and Lapata (2008) provide a general framework for semantic vector composition: p= f (u, v, R, K) (1) 295 where u and v are the vectors to be composed, R is syntactic context, K is a semantic knowledge base, and p is a resulting composed vector (or tensor)",['25'],"<S sid =""25"" ssid = ""21"">We present a general framework for vector-based composition which allows us to consider different classes of models.</S>",Method_Citation
9,P08-1028,W11-0131,0.0,0.0,"Mitchell and Lapata (2008) provide a general framework for semantic vector composition: p= f (u, v, R, K) (1) 295 where u and v are the vectors to be composed, R is syntactic context, K is a semantic knowledge base, and p is a resulting composed vector (or tensor)",['57'],"<S sid =""57"" ssid = ""5"">Let p denote the composition of two vectors u and v, representing a pair of constituents which stand in some syntactic relation R. Let K stand for any additional knowledge or information which is needed to construct the semantics of their composition.</S>",Method_Citation
9,P08-1028,W11-0131,0.0,0.0,"Mitchell and Lapata (2008) provide a general framework for semantic vector composition: p= f (u, v, R, K) (1) 295 where u and v are the vectors to be composed, R is syntactic context, K is a semantic knowledge base, and p is a resulting composed vector (or tensor)",['189'],"<S sid =""189"" ssid = ""1"">In this paper we presented a general framework for vector-based semantic composition.</S>",Method_Citation
11,P08-1028,P13-2083,0.0,0.0,"Mitchell and Lapata (2008) propose a framework to define the composition c= f (a, b, r, K) where r is the relation between a and b, and K is the additional knowledge used to define composition",['51'],"<S sid =""51"" ssid = ""24"">Our work proposes a framework for vector composition which allows the derivation of different types of models and licenses two fundamental composition operations, multiplication and addition (and their combination).</S>",Method_Citation
11,P08-1028,P13-2083,0.0,0.0,"Mitchell and Lapata (2008) propose a framework to define the composition c= f (a, b, r, K) where r is the relation between a and b, and K is the additional knowledge used to define composition",['57'],"<S sid =""57"" ssid = ""5"">Let p denote the composition of two vectors u and v, representing a pair of constituents which stand in some syntactic relation R. Let K stand for any additional knowledge or information which is needed to construct the semantics of their composition.</S>",Method_Citation
11,P08-1028,P13-2083,0.0,0.0,"Mitchell and Lapata (2008) propose a framework to define the composition c= f (a, b, r, K) where r is the relation between a and b, and K is the additional knowledge used to define composition",['59'],"<S sid =""59"" ssid = ""7"">It also allows us to derive models in which composition makes use of background knowledge K and models in which composition has a dependence, via the argument R, on syntax.</S>",Method_Citation
12,P08-1028,P13-2083,0.0,0.0,"As our final set of baselines, we extend two simple techniques proposed by (Mitchell and Lapata, 2008) that use element-wise addition and multiplication operators to perform composition",['51'],"<S sid =""51"" ssid = ""24"">Our work proposes a framework for vector composition which allows the derivation of different types of models and licenses two fundamental composition operations, multiplication and addition (and their combination).</S>",Method_Citation
15,P08-1028,W11-0115,0.0,0.0,"Mitchell and Lapata (2008) introduce a whole family of models of compositionality based on vector addition and point wise-multiplication (and a weighted combination of both), evaluated on a sentence similarity task inspired by Kintsch (2001)",['3'],"<S sid =""3"" ssid = ""3"">Under this framework, we introduce a wide range of composition models which we evaluate empirically on a sentence similarity task.</S>",Method_Citation
15,P08-1028,W11-0115,0.0,0.0,"Mitchell and Lapata (2008) introduce a whole family of models of compositionality based on vector addition and point wise-multiplication (and a weighted combination of both), evaluated on a sentence similarity task inspired by Kintsch (2001)",['26'],"<S sid =""26"" ssid = ""22"">Specifically, we present both additive and multiplicative models of vector combination and assess their performance on a sentence similarity rating experiment.</S>",Method_Citation
