Citance Number,Reference Article,Citing Article,Citation Marker Offset,Citation Marker,Citation Offset,Citation Text,Citation Text Clean,Reference Offset,Reference Text,Discourse Facet
1,A00-2030,W01-0510,0,"Miller et al., 2000",0,"Section 5 compares our approach tooth ers in the literature, in particular that of (Miller et al., 2000)","Section 5 compares our approach too thiers in the literature, in particular that of (Miller et al., 2000)","['84', '50', '6', '8', '44']","<S sid =""84"" ssid = ""3"">Although mathematically the model predicts tree elements in a top-down fashion  we search the space bottom-up using a chartbased search.</S><S sid =""50"" ssid = ""10"">Figure 4 shows an example of the semantic annotation  which was the only type of manual annotation we performed.</S><S sid =""6"" ssid = ""4"">In this paper  we report adapting a lexicalized  probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S><S sid =""8"" ssid = ""6"">Several technical challenges confronted us and were solved: TREEBANK on Wall Street Journal adequately train the algorithm for New York Times newswire  which includes dozens of newspapers?</S><S sid =""44"" ssid = ""4"">Instead  we applied an information retrieval system to select a large number of articles from the desired sources  yielding a corpus rich in the desired types of events.</S>",['Method_Citation']
2,A00-2030,W01-0510,0,"Miller et al, 2000",0,"The basic approach we described is very similar to the one presented in (Miller et al, 2000) however there are a few major di erences:  in our approach the augmentation of the syn tactic tags with semantic tags is straightforward due to the fact that the semantic constituents are matched exactly 5. The approach in (Miller","The basic approach we described is very similar to the one presented in (Miller et al, 2000) however there are a few major differences:  in our approach the augmentation of the syn tactic tags with semantic tags is straightforward due to the fact that the semantic constituents are matched exactly 5. The approach in (Miller","['26', '100', '76', '111', '19']","<S sid =""26"" ssid = ""9"">We were already using a generative statistical model for part-of-speech tagging (Weischedel et al. 1993)  and more recently  had begun using a generative statistical model for name finding (Bikel et al.</S><S sid =""100"" ssid = ""5"">Given multiple constituents that cover identical spans in the chart  only those constituents with probabilities within a While our focus throughout the project was on TE and TR  we became curious about how well the model did at part-of-speech tagging  syntactic parsing  and at name finding.</S><S sid =""76"" ssid = ""17"">Finally  word features  fm  for modifiers are predicted based on the modifier  cm  the partof-speech tag of the modifier word   t„„ the part-of-speech tag of the head word th  the head word itself  wh  and whether or not the modifier head word  w„„ is known or unknown.</S><S sid =""111"" ssid = ""3"">The views and conclusions contained in this document are those of the authors and should not be interpreted as necessarily representing the official policies  either expressed or implied  of the Defense Advanced Research Projects Agency or the United States Government.</S><S sid =""19"" ssid = ""2"">Currently  the prevailing architecture for dividing sentential processing is a four-stage pipeline consisting of: Since we were interested in exploiting recent advances in parsing  replacing the syntactic analysis stage of the standard pipeline with a modern statistical parser was an obvious possibility.</S>",['Method_Citation']
3,A00-2030,W01-0510,0,"Miller et al, 2000",0,"The semantic annotation required by our task is much simpler than that employed by (Miller et al, 2000)","The semantic annotation required by our task is much simpler than that employed by (Miller et al, 2000)","['43', '99', '80', '21', '6']","<S sid =""43"" ssid = ""3"">Thus  we did not consider simply adding semantic labels to the existing Penn TREEBANK  which is drawn from a single source — the Wall Street Journal — and is impoverished in articles about rocket launches.</S><S sid =""99"" ssid = ""4"">Nearly all of the work was done by the sentential model; disabling the cross-sentence model entirely reduced our overall F-Score by only 2 points.</S><S sid =""80"" ssid = ""2"">However  because these estimates are too sparse to be relied upon  we use interpolated estimates consisting of mixtures of successively lowerorder estimates (as in Placeway et al. 1993).</S><S sid =""21"" ssid = ""4"">For example  an error made during part-of-speech-tagging may cause a future error in syntactic analysis  which may in turn cause a semantic interpretation failure.</S><S sid =""6"" ssid = ""4"">In this paper  we report adapting a lexicalized  probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S>",['Method_Citation']
4,A00-2030,W01-0510,0,"Miller et al, 2000",0,"One possibly bene cial extension of our work suggested by (Miller et al, 2000) would be to add semantic tags describing relations between entities (slots), in which case the semantic constraints would not be structured strictly on the two levels used in the current approach, respectively frame and slot level","One possibly beneficial extension of our work suggested by (Miller et al, 2000) would be to add semantic tags describing relations between entities (slots), in which case the semantic constraints would not be structured strictly on the two levels used in the current approach, respectively frame and slot level","['100', '18', '24', '6', '36']","<S sid =""100"" ssid = ""5"">Given multiple constituents that cover identical spans in the chart  only those constituents with probabilities within a While our focus throughout the project was on TE and TR  we became curious about how well the model did at part-of-speech tagging  syntactic parsing  and at name finding.</S><S sid =""18"" ssid = ""1"">Almost all approaches to information extraction — even at the sentence level — are based on the divide-and-conquer strategy of reducing a complex problem to a set of simpler ones.</S><S sid =""24"" ssid = ""7"">For this reason  we focused on designing an integrated model in which tagging  namefinding  parsing  and semantic interpretation decisions all have the opportunity to mutually influence each other.</S><S sid =""6"" ssid = ""4"">In this paper  we report adapting a lexicalized  probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S><S sid =""36"" ssid = ""4"">The five key facts in this example are: Here  each &quot;reportable&quot; name or description is identified by a &quot;-r&quot; suffix attached to its semantic label.</S>",['Method_Citation']
5,A00-2030,W01-0510,0,"Miller et al, 2000",0,"Similar to the approach in (Miller et al, 2000 )weinitialized the SLM statistics from the UPenn Tree bank parse trees (about 1Mwds of training data) at the rst training stage, see Section 3","Similar to the approach in (Miller et al, 2000) we initialized the SLM statistics from the UPenn Tree bank parse trees","['11', '84', '1', '50', '7']","<S sid =""11"" ssid = ""1"">We evaluated the new approach to information extraction on two of the tasks of the Seventh Message Understanding Conference (MUC-7) and reported in (Marsh  1998).</S><S sid =""84"" ssid = ""3"">Although mathematically the model predicts tree elements in a top-down fashion  we search the space bottom-up using a chartbased search.</S><S sid =""1"" ssid = ""1"">Since 1995  a few statistical parsing algorithms have demonstrated a breakthrough in parsing accuracy  as measured against the UPenn TREEBANK as a gold standard.</S><S sid =""50"" ssid = ""10"">Figure 4 shows an example of the semantic annotation  which was the only type of manual annotation we performed.</S><S sid =""7"" ssid = ""5"">The technique was benchmarked in the Seventh Message Understanding Conference (MUC-7) in 1998.</S>",['Method_Citation']
6,A00-2030,P14-1078,0,"Miller et al, 2000",0,"Rule-based methods (Miller et al, 2000) employ a number of linguistic rules to capture relation patterns","Rule-based methods (Miller et al, 2000) employ a number of linguistic rules to capture relation patterns","['104', '64', '6', '50', '84']","<S sid =""104"" ssid = ""1"">We have demonstrated  at least for one problem  that a lexicalized  probabilistic context-free parser with head rules (LPCFGHR) can be used effectively for information extraction.</S><S sid =""64"" ssid = ""5"">Word features are introduced primarily to help with unknown words  as in (Weischedel et al. 1993).</S><S sid =""6"" ssid = ""4"">In this paper  we report adapting a lexicalized  probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S><S sid =""50"" ssid = ""10"">Figure 4 shows an example of the semantic annotation  which was the only type of manual annotation we performed.</S><S sid =""84"" ssid = ""3"">Although mathematically the model predicts tree elements in a top-down fashion  we search the space bottom-up using a chartbased search.</S>",['Method_Citation']
7,A00-2030,P05-1061,0,2000,0,"One interesting system that does not belong to the above class is that of Miller et al (2000), who take the view that relation extraction is just a form of probabilistic parsing where parse trees are augmented to identify all relations","One interesting system that does not belong to the above class is that of Miller et al (2000), who take the view that relation extraction is just a form of probabilistic parsing where parse trees are augmented to identify all relations","['21', '2', '66', '30', '61']","<S sid =""21"" ssid = ""4"">For example  an error made during part-of-speech-tagging may cause a future error in syntactic analysis  which may in turn cause a semantic interpretation failure.</S><S sid =""2"" ssid = ""2"">In this paper we report adapting a lexic al ized  probabilistic context-free parser to information extraction and evaluate this new technique on MUC-7 template elements and template relations.</S><S sid =""66"" ssid = ""7"">At each step in the process  a choice is made from a statistical distribution  with the probability of each possible selection dependent on particular features of previously generated elements.</S><S sid =""30"" ssid = ""13"">Although each model differed in its detailed probability structure  we believed that the essential elements of all three models could be generalized in a single probability model.</S><S sid =""61"" ssid = ""2"">The detailed probability structure differs  however  in that it was designed to jointly perform part-of-speech tagging  name finding  syntactic parsing  and relation finding in a single process.</S>",['Method_Citation']
8,A00-2030,P05-1053,0,2000,0,"Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees","Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees","['104', '33', '6', '64', '52']","<S sid =""104"" ssid = ""1"">We have demonstrated  at least for one problem  that a lexicalized  probabilistic context-free parser with head rules (LPCFGHR) can be used effectively for information extraction.</S><S sid =""33"" ssid = ""1"">Our integrated model represents syntax and semantics jointly using augmented parse trees.</S><S sid =""6"" ssid = ""4"">In this paper  we report adapting a lexicalized  probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S><S sid =""64"" ssid = ""5"">Word features are introduced primarily to help with unknown words  as in (Weischedel et al. 1993).</S><S sid =""52"" ssid = ""1"">In this section  we describe the algorithm that was used to automatically produce augmented trees  starting with a) human-generated semantic annotations and b) machinegenerated syntactic parse trees.</S>",['Method_Citation']
9,A00-2030,P05-1053,0,2000,0,"Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model","Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model","['100', '61', '24', '52', '21']","<S sid =""100"" ssid = ""5"">Given multiple constituents that cover identical spans in the chart  only those constituents with probabilities within a While our focus throughout the project was on TE and TR  we became curious about how well the model did at part-of-speech tagging  syntactic parsing  and at name finding.</S><S sid =""61"" ssid = ""2"">The detailed probability structure differs  however  in that it was designed to jointly perform part-of-speech tagging  name finding  syntactic parsing  and relation finding in a single process.</S><S sid =""24"" ssid = ""7"">For this reason  we focused on designing an integrated model in which tagging  namefinding  parsing  and semantic interpretation decisions all have the opportunity to mutually influence each other.</S><S sid =""52"" ssid = ""1"">In this section  we describe the algorithm that was used to automatically produce augmented trees  starting with a) human-generated semantic annotations and b) machinegenerated syntactic parse trees.</S><S sid =""21"" ssid = ""4"">For example  an error made during part-of-speech-tagging may cause a future error in syntactic analysis  which may in turn cause a semantic interpretation failure.</S>",['Results_Citation']
10,A00-2030,H05-1094,0,2000,0,"(Miller et al, 2000) have combined entity recognition, parsing, and relation extraction into a jointly-trained single statistical parsing model that achieves improved performance on all the subtasks. Part of the contribution of the current work is to suggest that joint decoding can be effective even when joint training is not possible because jointly-labeled data is unavailable","(Miller et al, 2000) have combined entity recognition, parsing, and relation extraction into a jointly-trained single statistical parsing model that achieves improved performance on all the subtasks. Part of the contribution of the current work is to suggest that joint decoding can be effective even when joint training is not possible because jointly-labeled data is unavailable","['19', '100', '61', '111', '24']","<S sid =""19"" ssid = ""2"">Currently  the prevailing architecture for dividing sentential processing is a four-stage pipeline consisting of: Since we were interested in exploiting recent advances in parsing  replacing the syntactic analysis stage of the standard pipeline with a modern statistical parser was an obvious possibility.</S><S sid =""100"" ssid = ""5"">Given multiple constituents that cover identical spans in the chart  only those constituents with probabilities within a While our focus throughout the project was on TE and TR  we became curious about how well the model did at part-of-speech tagging  syntactic parsing  and at name finding.</S><S sid =""61"" ssid = ""2"">The detailed probability structure differs  however  in that it was designed to jointly perform part-of-speech tagging  name finding  syntactic parsing  and relation finding in a single process.</S><S sid =""111"" ssid = ""3"">The views and conclusions contained in this document are those of the authors and should not be interpreted as necessarily representing the official policies  either expressed or implied  of the Defense Advanced Research Projects Agency or the United States Government.</S><S sid =""24"" ssid = ""7"">For this reason  we focused on designing an integrated model in which tagging  namefinding  parsing  and semantic interpretation decisions all have the opportunity to mutually influence each other.</S>",['Method_Citation']
